Fecha;pm25;so2;ws;wd
171204;10;4,24;2,152451708;198,3951875
171205;12;5,32;2,197872917;246,634625
171206;11;5,5;2,549931125;229,2484167
171207;13;4,16;1,586459792;265,9423917
171208;13;4,24;2,703810542;201,6195167
171209;16;5,21;2,266772708;192,0731542
171210;15;2,38;2,04878;161,5684167
171211;7;2;1,878024333;178,62625
171212;7;2,03;1,574270917;141,7716125
171213;6;3,51;2,789823;183,7596625
171214;10;4,27;2,607162708;194,507525
171215;11;2,58;1,7579826;189,5684333
171216;8;3,28;2,387720417;205,7888125
171217;12;3,92;2,421771042;179,7679833
171218;12;3,91;2,244429375;201,2631167
171219;12;3,24;2,4928775;227,0520708
171220;11;3,03;2,2968875;204,7623546
171221;12;3,52;2,015630708;194,0214729
171222;14;4,1;2,7152125;191,7040125
171223;14;3,69;2,642477458;193,1677667
171224;15;5,48;2,664633708;194,259885
171225;9;3,31;2,604152667;193,414125
171226;8;8,09;2,287162875;237,5961542
171227;10;7,53;2,52397;201,2201292
171228;7;4,1;1,813658417;221,3712292
171229;9;4,55;2,297433667;168,2316333
171230;10;6,26;2,2004025;219,7690125
171231;11;3,51;2,024864375;200,0721167
180101;17;3,83;2,050165833;223,35255
180102;12;4,01;2,412799167;176,5773821
180103;9;3,18;2,037937917;174,0493042
180104;7;6,47;2,435549;205,7766708
180105;14;7,19;2,791681833;213,7504538
180106;20;3,55;1,88903775;128,5356852
180107;14;2,63;2,217204125;130,1580363
180108;11;2,71;1,922049792;180,3808083
180109;10;4,38;2,463503125;169,6394125
180110;9;3,42;2,071460875;250,487825
180111;7;3,96;2,5297975;240,6657917
180112;8;2,84;1,693571;258,7201292
180113;11;2,63;1,642041667;253,4642208
180114;10;2,58;1,352652125;201,1997583
180115;10;2,63;1,960527417;206,6216833
180116;10;4,19;2,685621125;206,2619125
180117;18;5,5;2,424267875;193,5638
180118;16;2,7;2,061338708;229,5600292
180119;13;3,45;1,526916625;186,9973958
180120;10;3,73;1,544008667;249,0954167
180121;9;5,2;1,75972675;233,3644417
180122;12;5,75;2,631441792;176,4374958
180123;11;4,94;2,647100542;222,0742583
180124;15;4,57;2,23283;172,6239792
180125;14;5,46;2,356229667;239,1281042
180126;10;6,41;3,447497458;214,2401208
180127;16;9,62;2,595301542;177,3639667
180128;18;4,12;2,284796458;190,1624917
180129;12;3,34;2,54498725;164,7028375
180130;12;5,48;2,91342725;205,4018792
180131;13;5,86;2,282512542;180,7216083
180201;20;3,85;1,987807958;164,3655125
180202;15;3,5;1,830842125;180,20035
180203;12;3,84;2,174097042;258,8765417
180204;14;4,35;2,227730042;177,1859208
180205;11;4,18;2,113071;271,1635833
180206;9;4,9;2,206324;237,7286917
180207;12;4,49;2,043364042;221,7351538
180208;14;4,97;2,081376663;272,2508333
180209;21;5,05;2,296176458;202,9772667
180210;33;9,62;2,542788125;158,6646154
180211;25;7,03;2,20580875;170,4139375
180212;22;3,92;1,907247458;159,3074775
